Vehículo,Nombre,Costo,Distancia,Tiempo,Demanda,Recorrido
1,1,441936.0,11.88,0.0,12.0,"      Ubicaciones recorridas:

      🏠  CDP ->       ➡️  C12 ⬇️ ->     🏠  CDP
"
2,2,1780020.0,47.85,0.0,120.0,"      Ubicaciones recorridas:

      🏠  CDP ->       ➡️  C6 ⬇️ ->       ➡️  C22 ⬇️ ->       ➡️  C1 ⬇️ ->       ➡️  C15 ⬇️ ->       ➡️  C10 ⬇️ ->       ➡️  C4 ⬇️ ->       ➡️  C17 ⬇️ ->     🏠  CDP
"
3,3,262632.0,7.06,0.0,15.0,"      Ubicaciones recorridas:

      🏠  CDP ->       ➡️  C20 ⬇️ ->     🏠  CDP
"
4,4,474672.0,12.76,0.0,12.0,"      Ubicaciones recorridas:

      🏠  CDP ->       ➡️  C3 ⬇️ ->     🏠  CDP
"
5,5,320664.0,8.62,0.0,15.0,"      Ubicaciones recorridas:

      🏠  CDP ->       ➡️  C23 ⬇️ ->     🏠  CDP
"
6,6,297600.0,8.0,0.0,15.0,"      Ubicaciones recorridas:

      🏠  CDP ->       ➡️  C14 ⬇️ ->     🏠  CDP
"
7,7,1317996.0,35.43,0.0,77.0,"      Ubicaciones recorridas:

      🏠  CDP ->       ➡️  C5 ⬇️ ->       ➡️  C9 ⬇️ ->       ➡️  C11 ⬇️ ->       ➡️  C8 ⬇️ ->     🏠  CDP
"
8,8,2589492.0,69.61,0.0,111.0,"      Ubicaciones recorridas:

      🏠  CDP ->       ➡️  C2 ⬇️ ->       ➡️  C21 ⬇️ ->       ➡️  C19 ⬇️ ->       ➡️  C7 ⬇️ ->       ➡️  C13 ⬇️ ->       ➡️  C16 ⬇️ ->       ➡️  C24 ⬇️ ->       ➡️  C18 ⬇️ ->     🏠  CDP
"
GLOBAL,,7485012.0,201.21,0.0,377.0,
