Vehículo,Cliente,InicioVW,FinVW,Llegada,Cumple
1,2,275,425,376.99999999999955,✔
1,4,90,240,119.0,✔
1,5,255,405,255.0,✔
1,6,365,515,376.0,✔
1,9,0,120,120.0,✔
1,12,0,135,118.0,✔
1,13,265,415,378.0,✔
1,15,375,525,375.0,✔
2,7,15,165,95.0,✔
2,11,345,495,345.0,✔
2,14,355,505,355.0,✔
3,3,285,435,334.0,✔
3,8,26,176,74.0,✔
3,10,333,483,333.0,✔
